,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,MEMBER-SINCE,SEX,OCCUPATION-CODE,BLACK-LIST-CODE,BLACK-LIST-DATE,SPENDING-LIMIT,AVG-PAYMENTS,AVG-BALANCES,LAST-TRX-DATE,PY-AMT-CASH,YTD-AMT-CASH,YTD-MAX-BUCKET,PY-MAX-BUCKET,ACCOUNT-STATUS,CURRENT-BALANCE,BRANCH-CODE,AGE,AUTOMATIC-REPAYMENT,TARGET
134,134,134,134,01/10/1999,1,0,1,25/06/2001,1000000.0,8333.0,809857,1,0,0,7,5,0.0,200000.0,266,56.0,1,1
135,135,135,135,01/10/1999,1,0,1,05/12/2000,1000000.0,98500.0,610980,1,0,0,7,7,0.0,12895.0,466,64.0,1,1
136,136,136,136,01/10/1999,1,0,1,26/06/2000,1000000.0,25253.0,0,1,0,0,0,6,0.0,906618.0,466,40.0,1,1
137,137,137,137,01/10/1999,1,0,0,0,1000000.0,24750.0,929864,1,0,130000,0,0,0.0,967475.0,466,47.0,1,0
138,138,138,138,01/10/1999,1,0,0,0,1000000.0,23125.0,878057,1,0,0,2,0,0.0,828858.0,768,43.0,1,1
139,139,139,139,01/10/1999,1,0,0,0,700000.0,26667.0,498072,1,0,100000,0,0,0.0,432884.0,466,47.0,1,0
140,140,140,140,01/10/1999,1,0,0,0,1000000.0,43750.0,750292,1,0,0,0,0,0.0,496332.0,865,47.0,0,0
141,141,141,141,01/10/1999,0,0,1,05/12/2000,1000000.0,25253.0,279563,1,0,0,0,7,0.0,906618.0,466,34.0,1,1
142,142,142,142,01/10/1999,1,0,0,0,700000.0,25750.0,656506,1,205000,100000,0,0,0.0,591007.0,165,48.0,0,0
143,143,143,143,01/10/1999,1,0,0,0,1000000.0,67500.0,545889,1,0,0,7,5,0.0,276039.0,466,46.0,1,1
144,144,144,144,01/10/1999,1,0,1,05/12/2000,1000000.0,91667.0,279969,1,0,0,0,7,0.0,906618.0,165,35.0,0,1
145,145,145,145,01/10/1999,1,0,1,23/01/2001,1000000.0,11158.0,17451,1,0,0,0,0,0.0,906618.0,568,47.0,0,0
146,146,146,146,01/10/1999,1,0,1,26/06/2001,1000000.0,16667.0,809403,1,0,0,7,7,0.0,906618.0,269,41.0,1,1
147,147,147,147,01/10/1999,1,0,1,23/01/2001,1000000.0,11158.0,17422,1,0,0,0,0,0.0,906618.0,568,41.0,0,0
148,148,148,148,01/10/1999,1,0,0,0,1000000.0,30417.0,786089,1,0,0,0,0,0.0,659767.0,66,64.0,0,0
149,149,149,149,01/10/1999,0,0,0,0,1000000.0,18333.0,654580,1,0,1100000,0,0,0.0,982396.0,167,33.0,0,0
150,150,150,150,01/10/1999,0,0,0,0,1000000.0,29167.0,914270,1,0,0,2,3,0.0,859282.0,369,37.0,1,1
151,151,151,151,01/10/1999,1,0,0,0,1000000.0,24750.0,942713,1,0,100000,0,0,0.0,936619.0,365,40.0,1,0
152,152,152,152,01/10/1999,0,0,0,0,1000000.0,24750.0,821733,1,100000,295000,0,0,0.0,971835.0,269,27.0,1,0
153,153,153,153,01/10/1999,1,0,0,0,1000000.0,29167.0,887973,1,0,0,2,2,0.0,814076.0,365,30.0,0,1
154,154,154,154,01/10/1999,1,0,0,0,1000000.0,24750.0,882627,1,0,0,0,0,0.0,828641.0,265,39.0,1,0
155,155,155,155,01/10/1999,0,0,1,23/06/2000,1000000.0,25253.0,0,1,0,0,0,5,0.0,906618.0,668,40.0,0,1
156,156,156,156,01/10/1999,1,0,1,02/11/2000,1000000.0,83175.0,156985,1,0,0,0,0,0.0,906618.0,469,69.0,0,0
157,157,157,157,01/10/1999,1,0,1,02/11/2000,1000000.0,83175.0,156985,1,0,0,0,0,0.0,906618.0,469,38.0,0,0
158,158,158,158,01/10/1999,0,0,0,0,1000000.0,25333.0,897316,1,0,130000,0,0,0.0,937921.0,69,43.0,0,0
159,159,159,159,01/10/1999,1,0,0,0,1000000.0,24750.0,883955,1,0,0,0,0,0.0,830073.0,567,42.0,1,0
160,160,160,160,01/10/1999,0,0,1,05/12/2000,1000000.0,4167.0,291820,1,0,0,0,7,0.0,906618.0,665,38.0,1,1
161,161,161,161,01/10/1999,0,0,0,0,1000000.0,1631.0,1631,0,0,0,0,0,0.0,906618.0,165,55.0,0,0
162,162,162,162,01/10/1999,1,0,0,0,1000000.0,29583.0,935630,1,0,110000,0,0,0.0,895324.0,566,35.0,0,0
163,163,163,163,01/10/1999,1,0,0,0,1000000.0,27083.0,904420,1,0,0,0,3,0.0,831660.0,569,29.0,0,1
164,164,164,164,01/10/1999,1,0,0,0,1000000.0,30000.0,951856,1,0,0,7,5,0.0,827675.0,168,50.0,1,1
165,165,165,165,01/10/1999,0,0,0,0,1000000.0,26583.0,878304,1,0,0,0,0,0.0,781398.0,165,27.0,0,0
166,166,166,166,01/10/1999,1,0,0,0,1000000.0,22417.0,969786,1,100000,0,3,0,0.0,941900.0,265,57.0,0,1
167,167,167,167,01/10/1999,1,0,0,0,1000000.0,24500.0,942778,1,0,135000,0,2,0.0,976850.0,569,31.0,0,1
168,168,168,168,01/10/1999,1,0,1,18/05/2000,1000000.0,25253.0,0,1,0,0,0,0,0.0,906618.0,265,54.0,1,0
169,169,169,169,01/10/1999,1,0,0,0,1000000.0,31167.0,792506,1,0,0,0,0,0.0,655895.0,566,34.0,0,0
170,170,170,170,01/10/1999,1,0,1,05/12/2000,1000000.0,25253.0,283514,1,0,0,0,7,0.0,906618.0,265,43.0,0,1
171,171,171,171,01/10/1999,1,0,0,0,1000000.0,26917.0,908727,1,0,0,2,2,0.0,833273.0,667,51.0,0,1
172,172,172,172,01/10/1999,1,0,1,26/06/2001,1000000.0,25253.0,833237,1,0,0,7,6,0.0,906618.0,269,47.0,1,1
173,173,173,173,01/10/1999,1,0,0,0,1000000.0,24750.0,883757,1,0,0,0,0,0.0,808208.0,269,39.0,1,0
174,174,174,174,01/10/1999,1,0,0,0,1000000.0,33333.0,706223,1,0,0,7,7,0.0,624656.0,168,47.0,1,1
175,175,175,175,01/10/1999,0,1,0,0,1000000.0,18308.0,717506,1,980000,0,0,0,0.0,901825.0,168,31.0,1,0
176,176,176,176,01/10/1999,1,0,0,0,1000000.0,86082.0,252075,1,0,0,0,4,0.0,906618.0,168,63.0,1,1
177,177,177,177,01/10/1999,0,0,0,0,1000000.0,23792.0,985645,1,100000,0,3,2,0.0,959702.0,168,49.0,0,1
178,178,178,178,01/10/1999,1,0,1,26/06/2000,500000.0,25253.0,0,1,0,0,0,5,0.0,906618.0,466,31.0,1,1
179,179,179,179,01/10/1999,1,0,0,0,500000.0,25833.0,367085,1,180000,0,2,0,0.0,304334.0,569,43.0,0,1
180,180,180,180,01/10/1999,1,0,0,0,1000000.0,26583.0,866291,1,0,0,0,2,0.0,776615.0,168,41.0,1,1
181,181,181,181,01/10/1999,1,0,1,26/06/2001,1000000.0,8333.0,761771,1,100000,0,7,4,0.0,906618.0,568,45.0,0,1
182,182,182,182,01/10/1999,1,0,0,0,1000000.0,25000.0,887012,1,0,0,0,0,0.0,824643.0,568,48.0,0,0
183,183,183,183,01/10/1999,1,0,1,03/08/2000,1000000.0,25253.0,0,1,0,0,0,0,0.0,906618.0,368,48.0,0,0
184,184,184,184,01/10/1999,1,0,1,19/10/2000,1000000.0,269.0,269,1,0,0,0,0,0.0,906618.0,367,37.0,1,0
